Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Bavaria,cruiser46style,4.35,1.915,Masthead sloop,12390,103.0,Fiberglass composite,7.0,2.03,210,360,55,14.27,12.74,Diesel,150 or 80,Shoal or deep draft keel
Beneteau,moorings42.3,4.13,1.925,Sloop,9300,81.5,Fiberglass,7.0,1.95 or 2.15,200,500,50,12.93,11.6,Diesel,150,Shoal or deep draft keel
Beneteau,moorings43.5,4.43,1.7000000000000002,Masthead sloop,10500,92.9,Fiberglass composite,7.0,1.95,200 or 400,530 or 890,54,13.34,11.8,Diesel,54,Shoal or deep draft keel
Dehler,42,3.94 or 4.25,2.09,Masthead sloop,11300,90.0,Fiberglass composite,7.0,1.95 or 2,210,360,55,12.98,11.4,Diesel,50 or 55,L-shaped keel
Dufour,512grandlarge,5 or 5.03,2.3,Masthead sloop,16130,153.0,Fiberglass composite,9.0,2.05,440,720,110,15.55,14.76,Diesel,110,L-shaped keel
Dufour,56exclusive,5.05 or 5.2,2.5,Masthead cutter,21000,205.0,Fiberglass composite,9.0,2.05,680,730,110,17.15,16.1,Diesel,150,L-shaped keel
Grand Soleil,43maletto-gs43,4.13,2.3,Masthead sloop,9600,99.8,Fiberglass composite,7.0,2.05,230,320,55,13.25,11.55,Diesel,150 or 75,L-shaped keel
Jeanneau,sunodyssey389,3.76 or 3.88,1.78,Masthead sloop,7000,69.0,Fiberglass composite,5.0,1.95,130,200 or 330,29,11.34,10.4,Diesel,130 or 40 or 29 or 21,Shoal or deep draft keel
Jeanneau,sunodyssey419,4.2 or 4.19,1.85,Masthead sloop,9280,100.4,Fiberglass composite,7.0,2.05,200 or 240,330 or 530,45,12.76,11.38,Diesel,40 or 45 or 57,L-shaped keel
Jeanneau,sunodyssey449,4.24 or 4.49,1.9,Masthead sloop,10600,101.7,Fiberglass composite,8.0,2.05,200,330 or 640 or 490,57,13.76,12.39,Diesel,57 or 80,L-shaped keel
Jeanneau,sunodyssey479,4.49 or 4.49,1.92,Masthead sloop,11800,122.3,Fiberglass composite,10.0,2.05,240 or 480,618 or 720 or 760 or 1000,80,14.43,13.75,Diesel,63 or 80,L-shaped keel
Jeanneau,sunodyssey519,4.69 or 4.75,2.04,Masthead sloop,14930,152.0,Fiberglass composite,9.0,2.05,240 or 360,615,80,16.06,14.98,Diesel,80,L-shaped keel
Maxi,1200,4.25,2.3,Masthead sloop,13000,106.5,Fiberglass composite,7.0,1.98,400 or 600,600,75,12.98,11.02,Diesel,75 or 110,Deep draft keel
Moody,54,5.2,2.6,Masthead sloop,23000,163.0,Fiberglass composite,7.0,1.96 or 2.05,1000 or 1400,820,110,16.3,14.42,Diesel,110,L-shaped keel
Nautor,swanclubswan50,4.57,2.8,Masthead sloop,16800,141.0,Fiberglass composite,7.0,2,320,400,75,15.24,13.7,Diesel,75,L-shaped keel
Nautor,swan54,4.88 or 4.9,2.55,Masthead cutter,23500,142.0,Fiberglass composite,7.0,2,430 or 680,780,110,16.46,14.27,Diesel,110,L-shaped keel
Vismara,v50mills,4.25,2.55,Sloop or cutter,15000,120.0,Fiberglass composite,7.0,2,700 or 900,600,81,15.6,14.6,Diesel,80,Lifting keel
Wauquiez,pilotsaloon48,4.47,1.825,Masthead sloop,16000,128.2,Fiberglass composite,7.0,1.98,450,900,75,14.96,13.45,Diesel,110,Shoal or deep draft keel
Azuree,46,4.41,2.2,Masthead sloop,11900,112.0,Fiberglass composite,7.0,2.05,230 or 320,500 or 640,75,14.62,13.65,Diesel,75,L-shaped keel
Bavaria,cruiser46s,4.35,2.2,Masthead sloop,12600,117.0,Fiberglass composite,7.0,2.05,210,360,55,14.27,12.74,Diesel,50 or 75,L-shaped keel
Bavaria,51cruiserstyle,4.7,2.25,Masthead sloop,16000,138.7,Fiberglass composite,8.0,2.15 or 2.25,300,650,75,15.59,14.02,Diesel,75,L-shaped keel
Beneteau,oceanis38.1,3.99,1.8,Masthead sloop,6850,70.0,Fiberglass composite,7.0,1.91 or 1.98,130 or 200,330 or 468,30,11.5,10.72,Diesel or gasoline,65 or 130,Shoal or deep draft keel
Beneteau,41.1,4.2 or 4.23,2.16,Masthead sloop,7860,78.0,Fiberglass composite,7.0,1.95 or 2.05,195,570 or 190 or 320,40,12.43,11.38,Diesel,130 or 40 or 57,Shoal or deep draft keel
Beneteau,oceanis41.1,4.2 or 4.23,2.16,Masthead sloop,8500,82.0,Fiberglass composite,7.0,1.95 or 2.05,200 or 330,570 or 190,40,12.43,11.38,Diesel or gasoline,130 or 40 or 57,Shoal or deep draft keel
Boreal,47,4.56,2.35,Cutter or ketch,15300,118.0,Fiberglass composite,7.0,1.93 or 2.05,700,800,75,14.55,12.78,Diesel,180,Lifting keel
B-Yachts,brentab42,3.94,2.65,Masthead sloop,6500,103.0,Fiberglass composite,7.0,2.03,150,250,40,12.9,11.29,Diesel,80 or 30,L-shaped keel
Catalina,425,4.27,1.75,Masthead sloop,11113,97.5,Fiberglass composite,7.0,1.93 or 2.03,180,473,55,12.88,10.77,Diesel,135 or 56,Wing keel
Dufour,460performance,4.5 or 4.75,2.5,Masthead sloop,12600,121.0,Fiberglass composite,7.0,2.05,250,530,75 or 100,14.15,12.35,Diesel,75 or 100,L-shaped keel
Elan,e4,3.91,2.1,Masthead sloop,8500,99.0,Fiberglass composite,7.0,2 or 2.15,200,516,55,12.45,10.75,Diesel,120,L-shaped keel
Grand Soleil,43maletto,4.13,2.3,Masthead sloop,9600,99.8,Fiberglass composite,7.0,2.05,230,320,55,13.25,11.55,Diesel,150 or 75,L-shaped keel
Hallberg-Rassy,44,4.32,2.18,Masthead cutter,14000,98.0,Fiberglass composite,6.0,2.03,460,900,75,13.57,11.91,Diesel,300,T-shaped keel
Hanse,588,5.2 or 5.2,2.85,Masthead sloop,23500,190.0,Fiberglass composite,8.0,2.15 or 2.45,520,810,150,17.2,16.08,Diesel,400,L-shaped keel
Jeanneau,sunodyssey51,4.77 or 4.69,2.04,Masthead sloop,15700,124.0,Fiberglass composite,9.0,2.05,240 or 360,640,80,15.38,14.02,Diesel,80,L-shaped keel
Najad,505,4.78,2.13,Masthead cutter,17000,126.0,Fiberglass composite,7.0,2.03,600,800,75,15.34,13.32,Diesel,150,L-shaped keel
Nautor,swan50,4.58 or 4.58,2.7,Masthead sloop,20800,157.0,Fiberglass composite,8.0,2.05,500,700 or 1000,75,15.24,13.5,Diesel,180,Lifting keel
Solaris,50,4.85,3.05,Masthead sloop,16000,148.0,Fiberglass composite,7.0,1.95 or 2.05,400,680,75,15.2,13.9,Diesel,180,T-shaped keel
Bavaria,c45holiday,4.49 or 4.43,1.99,Masthead sloop,13300,108.0,Fiberglass composite,7.0,2.05,210,650,57,13.98,12.99,Diesel,210,L-shaped keel
Beneteau,sense51,5.0,2.7,Masthead sloop,15500,140.5,Fiberglass composite,8.0,2.05,415,640,80,15.97,13.67,Diesel,200,L-shaped keel
Beneteau,oceanis55.1,5.3 or 4.98,2.225,Masthead sloop,17500,183.0,Fiberglass composite,9.0,2.15 or 2.35,415,970,80,16.78,15.3,Diesel,160 or 80,Shoal or deep draft keel
Dufour,520grandlarge,5.02,2.6,Masthead sloop,15500,157.0,Fiberglass composite,9.0,2.05,450,720,110 or 150,15.2,14.1,Diesel,250,L-shaped keel
Dufour,520gl,5.02,2.6,Masthead sloop,15500,157.0,Fiberglass composite,9.0,2.05,450,720,110 or 150,15.2,14.1,Diesel,250,L-shaped keel
Dufour,520glownerversion,5.02,2.6,Masthead sloop,15500,157.0,Fiberglass composite,5.0,2.05,450,720,110 or 150,15.2,14.1,Diesel,250,L-shaped keel
Elan,gt5,4.49,2.125,Masthead sloop,10800,107.5,Fiberglass composite,7.0,1.94 or 2 or 2.2,280 or 400,401,57,13.2,11.9,Diesel,200,Lifting keel
Hanse,418,4.17,1.91,Masthead sloop,10600,91.0,Fiberglass composite,7.0,2.01,160,475 or 600,40,12.4,11.99,Diesel,160,L-shaped keel
Hanse,548,5.05,2.25,Masthead sloop,21600,186.0,Fiberglass composite,9.0,2.15,520,770,110,16.22,15.18,Diesel,110,Shoal or deep draft keel
Jeanneau,sunodyssey440,4.29,1.9,Masthead sloop,9640,96.0,Fiberglass composite,7.0,2 or 1.95,200,330 or 640,57,13.39,12.64,Diesel,200 or 45,L-shaped keel
Salona,s380,3.75,2.075,Masthead sloop,7000,75.0,Fiberglass composite,7.0,1.95,120,220 or 265 or 320,29,11.39,10.7,Diesel,85,L-shaped keel
Wauquiez,pilotsaloon42,4.28,1.9,Masthead sloop,11000,95.8,Fiberglass composite,7.0,1.98,350,540,75,12.99,11.14,Diesel,60 or 80,Shoal or deep draft keel
X-Yachts,x4.3,4.17,2.5,Masthead sloop,9000,97.5,Fiberglass composite,6.0,2.05,200,340 or 460,39,12.67,11.14,Diesel,40 or 57,L-shaped keel
Beneteau,oceanis46.1,4.5,2.05,Masthead sloop,10890,103.0,Fiberglass composite,8.0,2.05,200,370 or 640,57,14.6,13.53,Diesel,210 or 57,Shoal or deep draft keel
Dufour,390grandlarge,3.98,1.925,Masthead sloop,7800,77.0,Fiberglass composite,7.0,1.95 or 1.9,200,380 or 530 or 720,40,11.94,10.72,Diesel,160,L-shaped keel
Dufour,430grandlarge,4.3 or 4.3,2.1,Masthead sloop,10700,108.0,Fiberglass composite,8.0,1.98 or 2.05 or 2.2,250,570 or 720 or 460,50,13.24,12.22,Diesel,200,L-shaped keel
Dufour,430gl,4.3 or 4.3,2.1,Masthead sloop,10700,108.0,Fiberglass composite,8.0,1.98 or 2.05 or 2.2,250,570 or 720 or 460,50,13.24,12.22,Diesel,200,L-shaped keel
Hanse,388,3.9 or 3.99,1.79,Masthead sloop,9000,85.0,Fiberglass composite,7.0,1.95 or 2.15,160,370 or 520,29,11.99,10.71,Diesel,160 or 53,L-shaped keel
Hanse,508,4.75,2.55,Masthead sloop,15000,143.0,Fiberglass composite,8.0,2.1 or 2.6,520,770,110,15.55,14.03,Diesel,110 or 150,L-shaped keel
Jeanneau,sunodyssey410,3.99,1.87,Masthead sloop,8260,82.0,Fiberglass composite,7.0,2,200,330 or 530,40,12.35,11.59,Diesel,165,L-shaped keel
Jeanneau,sunodyssey490,4.49 or 4.49,1.92,Masthead sloop,12800,116.0,Fiberglass composite,9.0,2 or 2.2,240 or 480,640,80,14.42,13.71,Diesel,240,L-shaped keel or centerboard
RM Yachts,rm12.70,4.35,1.95,Two masted cutter or schooner,9500,110.0,Wood-epoxy or fiberglass,7.0,2,150,500,75,12.7,10.53,Diesel,60,Lifting keel
RM Yachts,rm1270,4.35,1.95,Two masted cutter or schooner,9500,110.0,Wood-epoxy or fiberglass,7.0,2,150,500,75,12.7,10.53,Diesel,60,Lifting keel
Southerly,48,4.57,1.485,Lugger or cutter,19000,133.0,Fiberglass composite,7.0,1.98 or 2.03 or 2.1 or 2.15,900,750,80,15.23,13.16,Diesel,350 or 175,Swing keel
X-Yachts,x4,3.99,2.2750000000000004,Masthead sloop,9200,90.0,Fiberglass composite,6.0,2.05,200,340 or 460,40,12.5,11.18,Diesel,40,L-shaped keel
X-Yachts,x4.6,4.41,2.15,Masthead sloop,12000,125.0,Fiberglass composite,7.0,2.03 or 2.17 or 2.38,340 or 460,430 or 500 or 680,57,14.31,13.24,Diesel,57 or 80,L-shaped keel
