Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
X-Yachts,x-50,4.61,2.7,Masthead sloop,15700,142.0,Fiberglass,7.0,1.98,400,460,75,15.24,13.36,Diesel,75,Fin keel
Alliage,yachtsalliage44,4.2,2.0,Cutter,14000,102.5,Aluminum,5.0,2,400,800,75,14.0,11.7,Diesel,180,Bulb fin keel
Amel,supermaramu2000,4.93,2.175,Ketch,16400,132.0,Fiberglass,5.0,1.98,600,1000,100,16.0,13.54,Diesel,380,Shark fin keel with skeg-hung rudder
Bavaria,cruiser50,4.63,2.05,Masthead sloop,14500,136.0,Fiberglass,8.0,2.05,320,560,75,15.57,14.05,Diesel,320,Fin keel
Beneteau,cyclades43.4,4.43,1.9,Masthead sloop,9500,78.1,Fiberglass,5.0,1.98,220,530,54,13.26,12.7,Diesel,250,Shoal draft keel
Beneteau,first50,4.47,2.45,Masthead sloop,13300,127.0,Fiberglass,7.0,1.95,235,400,75,15.07,14.04,Diesel,110,Fin keel
Beneteau,oceanis50,4.82,2.0,Masthead sloop,12600,107.0,Fiberglass,7.0,1.95,235,565,75,15.1,14.75,Diesel,235,Deep fin keel
Beneteau,oceanis51.1,4.8,2.3,Masthead sloop,14600,116.0,Fiberglass,8.0,2.05,200,768,80,15.94,14.98,Diesel,235,Deep fin keel
Beneteau,523,4.88,2.35,Masthead sloop,17000,152.0,Fiberglass,7.0,2.05,400,700,100,15.85,14.04,Diesel,100,Fin keel
Beneteau,oceanis523a,5.96,2.5,Masthead sloop,17637,193.0,Fiberglass,10.0,2,450,1000,100,16.2,15.24,Diesel,240,Shoal draft keel
C&C,yachts115,3.66,1.96,Masthead sloop,6123,63.9,Fiberglass,6.0,1.88,79,284,30,11.48,9.62,Diesel,75,Bulb fin keel
Catalina,400mkii,4.27,1.52,Wing keel,10659,87.9,Fiberglass,6.0,1.93,165,310,56,12.5,10.67,Diesel,163,Wing keel
Catalina,morgan440dssloop,4.17,1.625,Masthead sloop,10658,115.0,Fiberglass,7.0,2,218,720,75,13.41,11.91,Diesel,208,Fin keel
Dufour,40performance,3.89,2.1,Masthead sloop,7535,93.5,Fiberglass,6.0,1.95,160,360,55,12.35,11.04,Diesel,40,Shoal draft keel
Elan,impression384,3.87,1.98,Masthead sloop,7600,70.0,Fiberglass,6.0,1.9,165,280,29,11.55,10.37,Diesel,130,Shoal draft keel
Grand Soleil,40,3.85,2.3,9/10 fractional sloop,7750,92.5,Fiberglass,6.0,1.96,200,360,40,12.35,10.7,Diesel,40,Shoal draft keel
Grand Soleil,45,4.27,2.6,9/10 fractional sloop,10750,121.0,Fiberglass,7.0,1.95,250,400,55,13.85,12.88,Diesel,75,Fin keel
Hanse,400,4.04,2.05,Masthead sloop,8400,88.0,Fiberglass,6.0,1.95,140,320,40,12.1,11.0,Diesel,120,Shoal draft keel
Hanse,400e,4.16,2.05,Masthead sloop,8800,94.0,Fiberglass,6.0,1.98,140,320,55,12.1,11.0,Diesel,120,Shoal draft keel
Hanse,470e,4.46,2.23,Masthead sloop,12600,136.5,Fiberglass,7.0,2.05,250,450,75,14.31,12.35,Diesel,250,Deep fin keel
Hanse,540e,5.2,2.95,Masthead sloop,21000,201.0,Fiberglass,7.0,2.15,500,800,110,16.08,14.3,Diesel,110,Deep fin keel
Harmony,38,3.91,1.98,Masthead sloop,7800,70.0,Fiberglass,5.0,1.95,200,330,40,11.6,10.0,Diesel,80,Fin keel
Harmony,47,4.49,1.95,Masthead sloop,12600,109.0,Fiberglass,7.0,2.05,200,700,75,14.3,12.3,Diesel,230,Shoal draft keel
Hunter,380,3.84,1.75,B&R rig,7680,71.5,Fiberglass,6.0,1.93,151,284,40,11.58,10.14,Diesel,136,Wing keel
Hunter,41,4.09,2.135,B&R rig,9800,93.0,Fiberglass,7.0,1.98,189,284,50,12.45,11.07,Diesel,57,Wing keel
Hunter,44decksalon,4.27,1.725,B&R rig,11339,100.8,Fiberglass,6.0,1.98,189,400,54,13.41,12.7,Diesel,208,Wing keel
Hunter,45centercockpit,4.27,1.725,B&R rig,12247,100.8,Fiberglass,7.0,2.01,303,757,75,14.02,12.19,Diesel,208,Wing keel
Island Packet,440,4.57,1.625,Cutter,16278,117.7,Fiberglass,6.0,2.03,757,681,75,13.41,11.58,Diesel,416,Full keel
Island Packet,445,4.42,1.625,Cutter,16000,116.5,Fiberglass,5.0,2.03,568,681,75,13.72,12.04,Diesel,416,Full keel
Island Packet,485,4.88,1.905,Cutter,20185,154.7,Fiberglass,6.5,2.06,1135,1090,110,15.09,13.92,Diesel,160,Full keel
Jeanneau,sunodyssey42ds,4.16,2.13,Masthead sloop,8900,89.6,Fiberglass,6.0,1.98,130,355,54,12.93,11.61,Diesel,200,Fin keel
Jeanneau,sunodyssey48ds,4.75,2.15,Masthead sloop,12600,114.0,Fiberglass,7.0,1.98,240,700,75,14.75,13.34,Diesel,110,Shoal draft keel
Jeanneau,sunodyssey49(owner'sversion),4.49,2.425,Masthead sloop,13000,128.5,Fiberglass,5.0,1.98,240,700,75,15.07,13.41,Diesel,237,Fin keel
